tabla;id_registro;id_cliente;estado;columna_den
tcargos;86;1;A;desc_carg_tca
tcargos;87;1;A;desc_carg_tca
tcargos;88;1;A;desc_carg_tca
tcargos;89;1;A;desc_carg_tca
tcargos;90;1;A;desc_carg_tca
tcargos;91;1;A;desc_carg_tca
tcargos;92;1;A;desc_carg_tca
tcargos;93;1;A;desc_carg_tca
tcargos;94;1;A;desc_carg_tca
tcargos;95;1;A;desc_carg_tca
tcargos;96;1;A;desc_carg_tca
tcargos;97;1;A;desc_carg_tca
tcargos;98;1;A;desc_carg_tca
tcargos;99;1;A;desc_carg_tca
tcargos;100;1;A;desc_carg_tca
tcargos;101;1;A;desc_carg_tca
tcargos;102;1;A;desc_carg_tca
tcargos;103;1;A;desc_carg_tca
tcargos;104;1;A;desc_carg_tca
tcargos;105;1;A;desc_carg_tca
tcargos;106;1;A;desc_carg_tca
tcargos;107;1;A;desc_carg_tca
tcargos;108;1;A;desc_carg_tca
tcargos;109;1;A;desc_carg_tca
tcargos;110;1;A;desc_carg_tca
tcargos;111;1;A;desc_carg_tca
tcargos;112;1;A;desc_carg_tca
tcargos;113;1;A;desc_carg_tca
tcargos;114;1;A;desc_carg_tca
tcargos;115;1;A;desc_carg_tca
tcargos;116;1;A;desc_carg_tca
tcargos;117;1;A;desc_carg_tca
tcargos;118;1;A;desc_carg_tca
tcargos;119;1;A;desc_carg_tca
tcargos;120;1;A;desc_carg_tca
tcargos;121;1;A;desc_carg_tca
tcargos;122;1;A;desc_carg_tca
tcargos;123;1;A;desc_carg_tca
tcargos;124;1;A;desc_carg_tca
tcargos;125;1;A;desc_carg_tca
tcargos;126;1;A;desc_carg_tca
tcargos;127;1;A;desc_carg_tca
tcargos;128;1;A;desc_carg_tca
tcargos;129;1;A;desc_carg_tca
tcargos;130;1;A;desc_carg_tca
tcargos;131;1;A;desc_carg_tca
tcargos;132;1;A;desc_carg_tca
tcargos;133;1;A;desc_carg_tca
tcargos;134;1;A;desc_carg_tca
tcargos;135;1;A;desc_carg_tca
tcargos;136;1;A;desc_carg_tca
tcargos;137;1;A;desc_carg_tca
tcargos;138;1;A;desc_carg_tca
tcargos;139;1;A;desc_carg_tca
tcargos;140;1;A;desc_carg_tca
tcargos;141;1;A;desc_carg_tca
tcargos;142;1;A;desc_carg_tca
tcargos;143;1;A;desc_carg_tca
tcargos;144;1;A;desc_carg_tca
tcargos;145;1;A;desc_carg_tca
tcargos;146;1;A;desc_carg_tca
tcargos;147;1;A;desc_carg_tca
tcargos;148;1;A;desc_carg_tca
tcargos;149;1;A;desc_carg_tca
tcargos;150;1;A;desc_carg_tca
tcargos;151;1;A;desc_carg_tca
tcargos;152;1;A;desc_carg_tca
tcargos;153;1;A;desc_carg_tca
tcargos;154;1;A;desc_carg_tca
tcargos;155;1;A;desc_carg_tca
tcargos;156;1;A;desc_carg_tca
tcargos;157;1;A;desc_carg_tca
tcargos;158;1;A;desc_carg_tca
tcargos;159;1;A;desc_carg_tca
tcargos;160;1;A;desc_carg_tca
tcargos;161;1;A;desc_carg_tca
tcargos;162;1;A;desc_carg_tca
tcargos;163;1;A;desc_carg_tca
tcargos;164;1;A;desc_carg_tca
tcargos;165;1;A;desc_carg_tca
tcargos;166;1;A;desc_carg_tca
tcargos;167;1;A;desc_carg_tca
tcargos;168;1;A;desc_carg_tca
tcargos;169;1;A;desc_carg_tca
tcargos;170;1;A;desc_carg_tca
tcargos;171;1;A;desc_carg_tca
tcargos;172;1;A;desc_carg_tca
tcargos;173;1;A;desc_carg_tca
tcargos;174;1;A;desc_carg_tca
tcargos;175;1;A;desc_carg_tca
tcargos;176;1;A;desc_carg_tca
tcargos;177;1;A;desc_carg_tca
tcargos;178;1;A;desc_carg_tca
tcargos;179;1;A;desc_carg_tca
tcargos;180;1;A;desc_carg_tca
tcargos;181;1;A;desc_carg_tca
tcargos;182;1;A;desc_carg_tca
tcargos;183;1;A;desc_carg_tca
tcargos;184;1;A;desc_carg_tca
tcargos;185;1;A;desc_carg_tca
tcargos;186;1;A;desc_carg_tca
tcargos;187;1;A;desc_carg_tca
tcargos;188;1;A;desc_carg_tca
tcargos;189;1;A;desc_carg_tca
tcargos;190;1;A;desc_carg_tca
tcargos;191;1;A;desc_carg_tca
tcargos;192;1;A;desc_carg_tca
tcargos;193;1;A;desc_carg_tca
tcargos;194;1;A;desc_carg_tca
tcargos;195;1;A;desc_carg_tca
tcargos;196;1;A;desc_carg_tca
tcargos;197;1;A;desc_carg_tca
tcargos;198;1;A;desc_carg_tca
tcargos;199;1;A;desc_carg_tca
tcargos;200;1;A;desc_carg_tca
tcargos;201;1;A;desc_carg_tca
tcargos;202;1;A;desc_carg_tca
tcargos;203;1;A;desc_carg_tca
tcargos;204;1;A;desc_carg_tca
tcargos;205;1;A;desc_carg_tca
tcargos;206;1;A;desc_carg_tca
tcargos;207;1;A;desc_carg_tca
tcargos;208;1;A;desc_carg_tca
tcargos;209;1;A;desc_carg_tca
tcargos;210;1;A;desc_carg_tca
tcargos;211;1;A;desc_carg_tca
tcargos;212;1;A;desc_carg_tca
tcargos;213;1;A;desc_carg_tca
tcargos;214;1;A;desc_carg_tca
tcargos;215;1;A;desc_carg_tca
tcargos;216;1;A;desc_carg_tca
tcargos;217;1;A;desc_carg_tca
tcargos;218;1;A;desc_carg_tca
tcargos;219;1;A;desc_carg_tca
tcargos;220;1;A;desc_carg_tca
tcargos;221;1;A;desc_carg_tca
tcargos;222;1;A;desc_carg_tca
tcargos;223;1;A;desc_carg_tca
tcargos;224;1;A;desc_carg_tca
tcargos;225;1;A;desc_carg_tca
tcargos;226;1;A;desc_carg_tca
tcargos;227;1;A;desc_carg_tca
tcargos;228;1;A;desc_carg_tca
tcargos;229;1;A;desc_carg_tca
tcargos;230;1;A;desc_carg_tca
tcargos;231;1;A;desc_carg_tca
tcargos;232;1;A;desc_carg_tca
tcargos;233;1;A;desc_carg_tca
tcargos;234;1;A;desc_carg_tca
tcargos;235;1;A;desc_carg_tca
tcargos;236;1;A;desc_carg_tca
tcargos;237;1;A;desc_carg_tca
tcargos;238;1;A;desc_carg_tca
tcargos;239;1;A;desc_carg_tca
tcargos;240;1;A;desc_carg_tca
tcargos;241;1;A;desc_carg_tca
tcargos;242;1;A;desc_carg_tca
tcargos;243;1;A;desc_carg_tca
tcargos;244;1;A;desc_carg_tca
tcargos;245;1;A;desc_carg_tca
tcargos;246;1;A;desc_carg_tca
tcargos;247;1;A;desc_carg_tca
tcargos;248;1;A;desc_carg_tca
tcargos;249;1;A;desc_carg_tca
tcargos;250;1;A;desc_carg_tca
tcargos;251;1;A;desc_carg_tca
tcargos;252;1;A;desc_carg_tca
tcargos;253;1;A;desc_carg_tca
tcargos;254;1;A;desc_carg_tca
tcargos;255;1;A;desc_carg_tca
tcargos;256;1;A;desc_carg_tca
tcargos;257;1;A;desc_carg_tca
tcargos;258;1;A;desc_carg_tca
tcargos;259;1;A;desc_carg_tca
tcargos;260;1;A;desc_carg_tca
tcargos;261;1;A;desc_carg_tca
tcargos;262;1;A;desc_carg_tca
tcargos;263;1;A;desc_carg_tca
tcargos;264;1;A;desc_carg_tca
tcargos;265;1;A;desc_carg_tca
tcargos;266;1;A;desc_carg_tca
tcargos;267;1;A;desc_carg_tca
tcargos;268;1;A;desc_carg_tca
tcargos;269;1;A;desc_carg_tca
tcargos;270;1;A;desc_carg_tca
tcargos;271;1;A;desc_carg_tca
tcargos;272;1;A;desc_carg_tca
tcargos;273;1;A;desc_carg_tca
tcargos;274;1;A;desc_carg_tca
tcargos;275;1;A;desc_carg_tca
tcargos;276;1;A;desc_carg_tca
tcargos;277;1;A;desc_carg_tca
tcargos;278;1;A;desc_carg_tca
tcargos;279;1;A;desc_carg_tca
tcargos;280;1;A;desc_carg_tca
tcargos;281;1;A;desc_carg_tca
tcargos;282;1;A;desc_carg_tca
tcargos;283;1;A;desc_carg_tca
tcargos;284;1;A;desc_carg_tca
tcargos;285;1;A;desc_carg_tca
tcargos;286;1;A;desc_carg_tca
tcargos;287;1;A;desc_carg_tca
tcargos;288;1;A;desc_carg_tca
tcargos;289;1;A;desc_carg_tca
tcargos;290;1;A;desc_carg_tca
tcargos;291;1;A;desc_carg_tca
tcargos;292;1;A;desc_carg_tca
tcargos;293;1;A;desc_carg_tca
tcargos;294;1;A;desc_carg_tca
tcargos;295;1;A;desc_carg_tca
tcargos;296;1;A;desc_carg_tca
tcargos;297;1;A;desc_carg_tca
tcargos;298;1;A;desc_carg_tca
tcargos;299;1;A;desc_carg_tca
tcargos;300;1;A;desc_carg_tca
tcargos;301;1;A;desc_carg_tca
tcargos;302;1;A;desc_carg_tca
tcargos;303;1;A;desc_carg_tca
tcargos;304;1;A;desc_carg_tca
tcargos;305;1;A;desc_carg_tca
tcargos;306;1;A;desc_carg_tca
tcargos;307;1;A;desc_carg_tca
tcargos;308;1;A;desc_carg_tca
tcargos;309;1;A;desc_carg_tca
tcargos;310;1;A;desc_carg_tca
tcargos;311;1;A;desc_carg_tca
tcargos;312;1;A;desc_carg_tca
tcargos;313;1;A;desc_carg_tca
tipo_comisiones;1;1;A;nomb_tipo_comision
tipo_comisiones;2;1;A;nomb_tipo_comision
tipo_comisiones;3;1;A;nomb_tipo_comision
tipo_monedas;1;1;A;nomb_tipo_moneda
tipo_monedas;2;1;A;nomb_tipo_moneda
tplanillas;1;1;A;desc_tipo_tpl
tplanillas;2;1;A;desc_tipo_tpl
tprofesiones;1;1;A;nomb_prof_tpr
tprofesiones;2;1;A;nomb_prof_tpr
tprofesiones;3;1;A;nomb_prof_tpr
tprofesiones;4;1;A;nomb_prof_tpr
tprofesiones;5;1;A;nomb_prof_tpr
tprofesiones;6;1;A;nomb_prof_tpr
tprofesiones;7;1;A;nomb_prof_tpr
tprofesiones;8;1;A;nomb_prof_tpr
tprofesiones;9;1;A;nomb_prof_tpr
tprofesiones;10;1;A;nomb_prof_tpr
tprofesiones;11;1;A;nomb_prof_tpr
tprofesiones;12;1;A;nomb_prof_tpr
tprofesiones;13;1;A;nomb_prof_tpr
tprofesiones;14;1;A;nomb_prof_tpr
tprofesiones;15;1;A;nomb_prof_tpr
tprofesiones;16;1;A;nomb_prof_tpr
tprofesiones;17;1;A;nomb_prof_tpr
tprofesiones;18;1;A;nomb_prof_tpr
tprofesiones;19;1;A;nomb_prof_tpr
tprofesiones;20;1;A;nomb_prof_tpr
tprofesiones;21;1;A;nomb_prof_tpr
tprofesiones;22;1;A;nomb_prof_tpr
tprofesiones;23;1;A;nomb_prof_tpr
tprofesiones;24;1;A;nomb_prof_tpr
tprofesiones;25;1;A;nomb_prof_tpr
tprofesiones;26;1;A;nomb_prof_tpr
tprofesiones;27;1;A;nomb_prof_tpr
tprofesiones;28;1;A;nomb_prof_tpr
tprofesiones;29;1;A;nomb_prof_tpr
tprofesiones;30;1;A;nomb_prof_tpr
tprofesiones;31;1;A;nomb_prof_tpr
tprofesiones;32;1;A;nomb_prof_tpr
tprofesiones;33;1;A;nomb_prof_tpr
tprofesiones;34;1;A;nomb_prof_tpr
tprofesiones;35;1;A;nomb_prof_tpr
tprofesiones;36;1;A;nomb_prof_tpr
tprofesiones;37;1;A;nomb_prof_tpr
tprofesiones;38;1;A;nomb_prof_tpr
tprofesiones;39;1;A;nomb_prof_tpr
tprofesiones;40;1;A;nomb_prof_tpr
tprofesiones;41;1;A;nomb_prof_tpr
tprofesiones;42;1;A;nomb_prof_tpr
tprofesiones;43;1;A;nomb_prof_tpr
tprofesiones;44;1;A;nomb_prof_tpr
tprofesiones;45;1;A;nomb_prof_tpr
tprofesiones;46;1;A;nomb_prof_tpr
tprofesiones;47;1;A;nomb_prof_tpr
